ClaimNum,CatastropheCode,RiskDescription, Claim Cost ,CurrencyDesc,LossDate
1234,2025 Feb flooding,Houseowners Combined,22549.66,PULA,2/19/2025
1235,2025 Feb flooding,Houseowners Combined,300000.00,PULA,2/19/2025
1236,2025 Feb flooding,Houseowners Combined,86243.50,PULA,2/19/2025
1237,2025 Feb flooding,Houseowners Combined,8901.06,PULA,2/21/2025
1238,2025 Feb flooding,Houseowners Combined,18055.13,PULA,2/19/2025
1239,2025 Feb flooding,Houseowners Combined,23770.00,PULA,2/19/2025
1240,2025 Feb flooding,Houseowners Combined,488260.34,PULA,2/20/2025
1241,2025 Feb flooding,Houseowners Combined,45725.58,PULA,2/19/2025
1242,2025 Feb flooding,Houseowners Combined,49468.40,PULA,2/19/2025
1243,2025 Feb flooding,Houseowners Combined,38208.93,PULA,2/19/2025
1244,2025 Feb flooding,Houseowners Combined,23834.80,PULA,2/20/2025
1245,2025 Feb flooding,Houseowners Combined,66231.00,PULA,2/19/2025
1246,2025 Feb flooding,Houseowners Combined,15289.15,PULA,2/19/2025
1247,2025 Feb flooding,Houseowners Combined,200000.00,PULA,2/19/2025
1248,2025 Feb flooding,Houseowners Combined,5802.00,PULA,2/20/2025
1249,2025 Feb flooding,Houseowners Combined,9356.86,PULA,2/19/2025
1250,2025 Feb flooding,Houseowners Combined,25019.00,PULA,2/19/2025
1252,2025 Feb flooding,Houseowners Combined,19140.44,PULA,2/19/2025
1253,2025 Feb flooding,Houseowners Combined,29150.44,PULA,2/19/2025
1254,2025 Feb flooding,Houseowners Combined,37514.00,PULA,2/19/2025
1255,2025 Feb flooding,Houseowners Combined,4250.00,PULA,2/20/2025
1256,2025 Feb flooding,Houseowners Combined,75689.54,PULA,2/19/2025
1257,2025 Feb flooding,Houseowners Combined,10361.55,PULA,2/19/2025
1258,2025 Feb flooding,Houseowners Combined,20250.00,PULA,2/19/2025
1259,2025 Feb flooding,Houseowners Combined,2772.00,PULA,2/19/2025
1260,2025 Feb flooding,Houseowners Combined,5950.20,PULA,2/19/2025
1261,2025 Feb flooding,Houseowners Combined,37060.95,PULA,2/19/2025
1262,2025 Feb flooding,Houseowners Combined,36174.03,PULA,2/19/2025
1263,2025 Feb flooding,Houseowners Combined,46939.38,PULA,2/19/2025
1264,2025 Feb flooding,Houseowners Combined,70487.00,PULA,2/19/2025
1265,2025 Feb flooding,Houseowners Combined,13427.40,PULA,2/19/2025
1268,2025 Feb flooding,Houseowners Combined,6668.00,PULA,2/19/2025
1269,2025 Feb flooding,Houseowners Combined,10202.88,PULA,2/19/2025
1271,2025 Feb flooding,Houseowners Combined,75627.20,PULA,2/19/2025
1272,2025 Feb flooding,Houseowners Combined,39010.97,PULA,2/19/2025
1273,2025 Feb flooding,Houseowners Combined,13450.00,PULA,2/21/2025
1275,2025 Feb flooding,Houseowners Combined,90208.92,PULA,2/19/2025
1277,2025 Feb flooding,Houseowners Combined,62047.43,PULA,2/19/2025
,,,,,
,,,,,
1279,2025 Feb flooding,Houseowners Combined,50917.26,PULA,2/19/2025
1280,2025 Feb flooding,Houseowners Combined,8144.75,PULA,2/20/2025
1281,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/20/2025
1283,2025 Feb flooding,Houseowners Combined,113838.08,PULA,2/20/2025
1284,2025 Feb flooding,Houseowners Combined,77476.10,PULA,2/20/2025
1285,2025 Feb flooding,Houseowners Combined,14413.20,PULA,2/20/2025
1286,2025 Feb flooding,Houseowners Combined,77303.00,PULA,2/19/2025
1287,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1289,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1290,2025 Feb flooding,Houseowners Combined,155389.87,PULA,2/19/2025
1292,2025 Feb flooding,Private Motor,156498.95,PULA,2/19/2025
1293,2025 Feb flooding,Private Motor,350000.00,PULA,2/20/2025
1294,2025 Feb flooding,Houseowners Combined,39916.05,PULA,2/19/2025
1296,2025 Feb flooding,Houseowners Combined,13695.00,PULA,2/19/2025
1301,2025 Feb flooding,Houseowners Combined,23591.00,PULA,2/19/2025
1302,2025 Feb flooding,Houseowners Combined,8589.45,PULA,2/19/2025
1303,2025 Feb flooding,Houseowners Combined,125265.00,PULA,2/19/2025
1304,2025 Feb flooding,Houseowners Combined,42670.90,PULA,2/19/2025
1305,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1306,2025 Feb flooding,Houseowners Combined,5436.80,PULA,2/19/2025
1308,2025 Feb flooding,Motor Specified Individual,141030.83,PULA,2/21/2025
1309,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1310,2025 Feb flooding,Houseowners Combined,10518.00,PULA,2/19/2025
1311,2025 Feb flooding,Houseowners Combined,40212.00,PULA,2/19/2025
1312,2025 Feb flooding,Houseowners Combined,22745.00,PULA,2/19/2025
1313,2025 Feb flooding,Houseowners Combined,525382.59,PULA,2/20/2025
1315,2025 Feb flooding,Houseowners Combined,17135.00,PULA,2/19/2025
1316,2025 Feb flooding,Accident Classes,350000.00,PULA,2/19/2025
1318,2025 Feb flooding,Private Motor,247765.01,PULA,2/20/2025
1319,2025 Feb flooding,Houseowners Combined,8531.47,PULA,2/19/2025
1320,2025 Feb flooding,Houseowners Combined,24017.50,PULA,2/19/2025
1321,2025 Feb flooding,Houseowners Combined,1545.95,PULA,2/19/2025
1322,2025 Feb flooding,Houseowners Combined,236941.66,PULA,2/19/2025
1323,2025 Feb flooding,Private Motor,33081.07,PULA,2/19/2025
1324,2025 Feb flooding,Private Motor,11389.52,PULA,2/19/2025
1325,2025 Feb flooding,Motor Scheme,350000.00,PULA,2/19/2025
1326,2025 Feb flooding,Houseowners Combined,18143.88,PULA,2/20/2025
1327,2025 Feb flooding,Plant All Risks,85726.00,PULA,2/21/2025
1330,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1331,2025 Feb flooding,Houseowners Combined,24704.00,PULA,2/19/2025
1332,2025 Feb flooding,Houseowners Combined,12367.35,PULA,2/19/2025
1334,2025 Feb flooding,Houseowners Combined,78350.98,PULA,2/19/2025
1335,2025 Feb flooding,Private Motor,437966.97,PULA,2/19/2025
1337,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1338,2025 Feb flooding,Houseowners Combined,5505.00,PULA,2/19/2025
